Transaction ID,Quantity,Price Per Unit,Total Spent,Transaction Date,Total_Corrected,Is_Total_Mismatch,High_Spending,Item_Category,Items_Per_Transaction,Transaction_Month_Ordinal,Transaction_Weekday_Ordinal,Price_Category_Ordinal,PayMethod_Credit Card,PayMethod_Digital Wallet,Loc_Takeaway,Item_Frequency_Encoded
TXN_1961373,2.0,2.0,4.0,2023-09-08,4.0,False,False,Coffee,2.0,8,4,1,True,False,True,0.10767295597484276
TXN_4977031,4.0,3.0,12.0,2023-05-16,12.0,False,False,Pastry,4.0,4,1,1,False,False,False,0.11119496855345912
TXN_4271903,4.0,1.0,4.0,2023-07-19,4.0,False,False,Pastry,4.0,6,2,0,True,False,False,0.1169811320754717
TXN_3160411,2.0,2.0,4.0,2023-06-11,4.0,False,False,Coffee,2.0,5,6,1,False,True,False,0.10767295597484276
TXN_2548360,5.0,5.0,25.0,2023-11-07,25.0,False,True,Salad,5.0,10,1,2,False,False,True,0.1210062893081761
TXN_7619095,2.0,4.0,8.0,2023-05-03,8.0,False,False,Pastry,2.0,4,2,1,False,False,False,0.1159748427672956
TXN_2847255,3.0,5.0,15.0,2023-11-15,15.0,False,False,Salad,3.0,10,2,2,True,False,False,0.1210062893081761
TXN_6769710,2.0,3.0,6.0,2023-02-24,6.0,False,False,Cold Drink,2.0,1,4,1,False,False,False,0.1210062893081761
TXN_3709394,4.0,3.0,12.0,2023-01-15,12.0,False,False,Cold Drink,4.0,0,6,1,False,False,True,0.1210062893081761
TXN_3522028,5.0,4.0,20.0,2023-04-04,20.0,False,False,Cold Drink,5.0,3,1,1,False,False,False,0.09886792452830188
TXN_3567645,4.0,4.0,16.0,2023-03-30,16.0,False,False,Cold Drink,4.0,2,3,1,True,False,True,0.09886792452830188
TXN_5132361,3.0,4.0,12.0,2023-12-01,12.0,False,False,Pastry,3.0,11,4,1,False,True,True,0.1159748427672956
TXN_9400181,5.0,4.0,20.0,2023-06-03,20.0,False,False,Pastry,5.0,5,5,1,False,False,False,0.1159748427672956
TXN_5183041,5.0,1.0,5.0,2023-04-20,5.0,False,False,Pastry,5.0,3,3,0,True,False,False,0.1169811320754717
TXN_5695074,4.0,3.0,12.0,2023-04-10,12.0,False,False,Cold Drink,4.0,3,0,1,True,False,True,0.1210062893081761
TXN_8853997,2.0,4.0,8.0,2023-10-09,8.0,False,False,Cold Drink,2.0,9,0,1,False,True,True,0.09886792452830188
TXN_1080432,2.0,5.0,10.0,2023-04-29,10.0,False,False,Salad,2.0,3,5,2,True,False,False,0.1210062893081761
TXN_8078640,4.0,3.0,12.0,2023-11-03,12.0,False,False,Cold Drink,4.0,10,4,1,False,True,False,0.1210062893081761
TXN_8614868,5.0,4.0,20.0,2023-12-05,20.0,False,False,Cold Drink,5.0,11,1,1,False,True,True,0.09886792452830188
TXN_5522862,2.0,1.0,2.0,2023-03-19,2.0,False,False,Pastry,2.0,2,6,0,True,False,True,0.1169811320754717
TXN_2080895,1.0,3.0,3.0,2023-04-19,3.0,False,False,Pastry,1.0,3,2,1,False,True,False,0.11119496855345912
TXN_6421134,4.0,4.0,16.0,2023-11-03,16.0,False,False,Pastry,4.0,10,4,1,False,False,True,0.1159748427672956
TXN_3068204,1.0,1.0,1.0,2023-10-03,1.0,False,False,Pastry,1.0,9,1,0,True,False,True,0.1169811320754717
TXN_8471743,5.0,3.0,15.0,2023-04-06,15.0,False,False,Other,5.0,3,3,1,False,True,False,0.03069182389937107
TXN_2621580,2.0,1.5,3.0,2023-03-22,3.0,False,False,Tea,2.0,2,2,0,False,False,False,0.1079245283018868
TXN_4726376,2.0,3.0,6.0,2023-01-31,6.0,False,False,Pastry,2.0,0,1,1,True,False,False,0.11119496855345912
TXN_6044979,1.0,1.0,1.0,2023-12-08,1.0,False,False,Other,1.0,11,4,0,False,False,False,0.035974842767295595
TXN_6420335,1.0,2.0,2.0,2023-07-16,2.0,False,False,Coffee,1.0,6,6,1,False,False,True,0.10767295597484276
TXN_3829165,4.0,3.0,12.0,2023-06-15,12.0,False,False,Cold Drink,4.0,5,3,1,False,False,False,0.1210062893081761
TXN_3748616,2.0,2.0,4.0,2023-12-09,4.0,False,False,Coffee,2.0,11,5,1,True,False,False,0.10767295597484276
TXN_5266394,3.0,3.0,9.0,2023-10-28,9.0,False,False,Pastry,3.0,9,5,1,False,False,False,0.11119496855345912
TXN_9487821,1.0,5.0,5.0,2023-05-24,5.0,False,False,Other,1.0,4,2,2,False,True,True,0.03069182389937107
TXN_8976658,2.0,1.5,3.0,2023-08-16,3.0,False,False,Tea,2.0,7,2,0,True,False,False,0.1079245283018868
TXN_6289610,3.0,3.0,9.0,2023-08-07,9.0,False,False,Cold Drink,3.0,7,0,1,False,False,True,0.1210062893081761
TXN_5220895,5.0,5.0,25.0,2023-06-10,25.0,False,True,Salad,5.0,5,5,2,False,False,False,0.1210062893081761
TXN_3085509,4.0,2.0,8.0,2023-04-15,8.0,False,False,Coffee,4.0,3,5,1,False,True,False,0.10767295597484276
TXN_9999113,4.0,3.0,12.0,2023-05-27,12.0,False,False,Cold Drink,4.0,4,5,1,False,False,True,0.1210062893081761
TXN_8779771,4.0,2.0,8.0,2023-07-25,8.0,False,False,Coffee,4.0,6,1,1,False,False,False,0.10767295597484276
TXN_9517146,5.0,5.0,25.0,2023-10-30,25.0,False,True,Other,5.0,9,0,2,False,False,True,0.035974842767295595
TXN_3808639,2.0,3.0,6.0,2023-12-15,6.0,False,False,Cold Drink,2.0,11,4,1,False,True,True,0.1210062893081761
TXN_4358673,5.0,1.0,5.0,2023-12-28,5.0,False,False,Pastry,5.0,11,3,0,False,True,True,0.1169811320754717
TXN_4368416,2.0,5.0,10.0,2023-02-24,10.0,False,False,Salad,2.0,1,4,2,True,False,True,0.1210062893081761
TXN_6258471,5.0,2.0,10.0,2023-09-23,10.0,False,False,Coffee,5.0,8,5,1,False,True,False,0.10767295597484276
TXN_4685453,4.0,1.5,6.0,2023-09-14,6.0,False,False,Tea,4.0,8,3,0,False,False,False,0.1079245283018868
TXN_9096052,4.0,4.0,16.0,2023-12-28,16.0,False,False,Cold Drink,4.0,11,3,1,True,False,True,0.09886792452830188
TXN_5916991,2.0,3.0,6.0,2023-02-06,6.0,False,False,Cold Drink,2.0,1,0,1,False,True,True,0.1210062893081761
TXN_3407169,2.0,4.0,8.0,2023-03-11,8.0,False,False,Pastry,2.0,2,5,1,False,False,False,0.1159748427672956
TXN_2181545,4.0,3.0,12.0,2023-07-14,12.0,False,False,Cold Drink,4.0,6,4,1,True,False,True,0.1210062893081761
TXN_1150033,5.0,3.0,15.0,2023-04-18,15.0,False,False,Cold Drink,5.0,3,1,1,False,False,False,0.1210062893081761
TXN_8700451,5.0,1.5,7.5,2023-12-12,7.5,False,False,Tea,5.0,11,1,0,True,False,True,0.1079245283018868
TXN_6380550,5.0,2.0,10.0,2023-01-05,10.0,False,False,Coffee,5.0,0,3,1,False,False,False,0.10767295597484276
TXN_4885518,3.0,5.0,15.0,2023-06-10,15.0,False,False,Salad,3.0,5,5,2,True,False,False,0.1210062893081761
TXN_7623634,2.0,3.0,6.0,2023-07-11,6.0,False,False,Pastry,2.0,6,1,1,True,False,False,0.11119496855345912
TXN_9336980,4.0,5.0,20.0,2023-06-06,20.0,False,False,Salad,4.0,5,1,2,False,False,False,0.1210062893081761
TXN_5072031,2.0,3.0,6.0,2023-03-23,6.0,False,False,Pastry,2.0,2,3,1,False,False,True,0.11119496855345912
TXN_4031509,4.0,4.0,16.0,2023-01-04,16.0,False,False,Other,4.0,0,2,1,True,False,True,0.035974842767295595
TXN_6541415,4.0,3.0,12.0,2023-11-25,12.0,False,False,Other,4.0,10,5,1,False,False,False,0.03270440251572327
TXN_1928241,3.0,2.0,6.0,2023-04-30,6.0,False,False,Coffee,3.0,3,6,1,False,False,False,0.10767295597484276
TXN_4283157,5.0,5.0,25.0,2023-11-25,25.0,False,True,Salad,5.0,10,5,2,False,True,False,0.1210062893081761
TXN_7965998,1.0,3.0,3.0,2023-11-02,3.0,False,False,Cold Drink,1.0,10,3,1,True,False,False,0.1210062893081761
TXN_1648671,3.0,4.0,12.0,2023-05-21,12.0,False,False,Pastry,3.0,4,6,1,False,False,True,0.1159748427672956
TXN_4062737,3.0,3.0,9.0,2023-07-02,9.0,False,False,Pastry,3.0,6,6,1,False,False,False,0.11119496855345912
TXN_9249507,4.0,1.0,4.0,2023-11-21,4.0,False,False,Pastry,4.0,10,1,0,True,False,False,0.1169811320754717
TXN_9836934,3.0,1.0,3.0,2023-03-13,3.0,False,False,Pastry,3.0,2,0,0,False,True,False,0.1169811320754717
TXN_3925836,3.0,1.0,3.0,2023-02-16,3.0,False,False,Pastry,3.0,1,3,0,False,True,False,0.1169811320754717
TXN_3978874,5.0,4.0,20.0,2023-03-13,20.0,False,False,Cold Drink,5.0,2,0,1,True,False,False,0.09886792452830188
TXN_8007337,2.0,3.0,6.0,2023-11-01,6.0,False,False,Pastry,2.0,10,2,1,False,True,True,0.11119496855345912
TXN_3831848,1.0,4.0,4.0,2023-11-03,4.0,False,False,Other,1.0,10,4,1,False,True,True,0.03270440251572327
TXN_5365809,3.0,3.0,9.0,2023-09-14,9.0,False,False,Pastry,3.0,8,3,1,False,False,False,0.11119496855345912
TXN_6629480,5.0,4.0,20.0,2023-02-28,20.0,False,False,Cold Drink,5.0,1,1,1,True,False,False,0.09886792452830188
TXN_7412722,4.0,3.0,12.0,2023-04-07,12.0,False,False,Cold Drink,4.0,3,4,1,False,False,False,0.1210062893081761
TXN_6000201,3.0,1.0,3.0,2023-02-16,3.0,False,False,Pastry,3.0,1,3,0,False,False,True,0.1169811320754717
TXN_3800182,2.0,1.5,3.0,2023-10-26,3.0,False,False,Tea,2.0,9,3,0,False,False,False,0.1079245283018868
TXN_2950680,2.0,2.0,4.0,2023-12-10,4.0,False,False,Coffee,2.0,11,6,1,True,False,True,0.10767295597484276
TXN_8964522,3.0,3.0,9.0,2023-10-28,9.0,False,False,Other,3.0,9,5,1,True,False,True,0.035974842767295595
TXN_4088917,3.0,2.0,6.0,2023-02-04,6.0,False,False,Coffee,3.0,1,5,1,False,False,True,0.10767295597484276
TXN_3779366,1.0,1.0,1.0,2023-04-15,1.0,False,False,Pastry,1.0,3,5,0,False,True,False,0.1169811320754717
TXN_3171373,3.0,4.0,12.0,2023-05-10,12.0,False,False,Cold Drink,3.0,4,2,1,True,False,False,0.09886792452830188
TXN_8693704,5.0,5.0,25.0,2023-05-04,25.0,False,True,Salad,5.0,4,3,2,False,False,False,0.1210062893081761
TXN_3857960,4.0,5.0,20.0,2023-04-26,20.0,False,False,Salad,4.0,3,2,2,False,False,False,0.1210062893081761
TXN_9250710,1.0,5.0,5.0,2023-05-28,5.0,False,False,Salad,1.0,4,6,2,False,False,False,0.1210062893081761
TXN_9879996,4.0,2.0,8.0,2023-03-01,8.0,False,False,Coffee,4.0,2,2,1,False,True,False,0.10767295597484276
TXN_4291940,3.0,3.0,9.0,2023-11-13,9.0,False,False,Pastry,3.0,10,0,1,True,False,False,0.11119496855345912
TXN_5047447,1.0,5.0,5.0,2023-12-27,5.0,False,False,Salad,1.0,11,2,2,False,True,True,0.1210062893081761
TXN_6623508,5.0,1.0,5.0,2023-05-18,5.0,False,False,Pastry,5.0,4,3,0,False,True,True,0.1169811320754717
TXN_9350833,1.0,3.0,3.0,2023-01-17,3.0,False,False,Pastry,1.0,0,1,1,False,False,True,0.11119496855345912
TXN_2230167,4.0,3.0,12.0,2023-09-22,12.0,False,False,Pastry,4.0,8,4,1,False,True,True,0.11119496855345912
TXN_7077119,1.0,4.0,4.0,2023-12-30,4.0,False,False,Other,1.0,11,5,1,False,True,False,0.03069182389937107
TXN_5526852,5.0,4.0,20.0,2023-09-28,20.0,False,False,Pastry,5.0,8,3,1,False,True,False,0.1159748427672956
TXN_3205009,2.0,1.5,3.0,2023-01-03,3.0,False,False,Other,2.0,0,1,0,False,False,False,0.03069182389937107
TXN_3786188,3.0,1.5,4.5,2023-10-20,4.5,False,False,Tea,3.0,9,4,0,True,False,False,0.1079245283018868
TXN_9642066,3.0,4.0,12.0,2023-08-31,12.0,False,False,Pastry,3.0,7,3,1,True,False,False,0.1159748427672956
TXN_9238066,5.0,1.5,7.5,2023-09-15,7.5,False,False,Other,5.0,8,4,0,False,True,False,0.035974842767295595
TXN_6714420,2.0,3.0,6.0,2023-03-30,6.0,False,False,Other,2.0,2,3,1,True,False,True,0.03069182389937107
TXN_6616971,2.0,3.0,6.0,2023-09-02,6.0,False,False,Cold Drink,2.0,8,5,1,False,True,True,0.1210062893081761
TXN_7803615,3.0,5.0,15.0,2023-12-13,15.0,False,False,Salad,3.0,11,2,2,False,False,False,0.1210062893081761
TXN_1583597,1.0,5.0,5.0,2023-05-10,5.0,False,False,Salad,1.0,4,2,2,False,False,False,0.1210062893081761
TXN_8472308,2.0,1.0,2.0,2023-08-19,2.0,False,False,Pastry,2.0,7,5,0,False,True,True,0.1169811320754717
TXN_1967565,5.0,4.0,20.0,2023-03-31,20.0,False,False,Cold Drink,5.0,2,4,1,True,False,True,0.09886792452830188
TXN_2029497,2.0,4.0,8.0,2023-01-06,8.0,False,False,Pastry,2.0,0,4,1,False,False,True,0.1159748427672956
TXN_7852990,5.0,4.0,20.0,2023-07-10,20.0,False,False,Pastry,5.0,6,0,1,False,True,True,0.1159748427672956
TXN_2059647,1.0,1.5,1.5,2023-05-29,1.5,False,False,Tea,1.0,4,0,0,False,True,False,0.1079245283018868
TXN_2485183,5.0,4.0,20.0,2023-07-07,20.0,False,False,Cold Drink,5.0,6,4,1,False,False,False,0.09886792452830188
TXN_9401522,4.0,4.0,16.0,2023-11-16,16.0,False,False,Pastry,4.0,10,3,1,False,True,False,0.1159748427672956
TXN_8250651,4.0,4.0,16.0,2023-03-13,16.0,False,False,Pastry,4.0,2,0,1,False,True,False,0.1159748427672956
TXN_8982764,5.0,3.0,15.0,2023-11-23,15.0,False,False,Pastry,5.0,10,3,1,False,True,True,0.11119496855345912
TXN_8669422,4.0,3.0,12.0,2023-10-15,12.0,False,False,Other,4.0,9,6,1,False,False,True,0.035974842767295595
TXN_1153869,5.0,4.0,20.0,2023-11-03,20.0,False,False,Cold Drink,5.0,10,4,1,True,False,True,0.09886792452830188
TXN_3229409,3.0,3.0,8.0,2023-04-15,9.0,True,False,Cold Drink,3.0,3,5,1,False,False,True,0.1210062893081761
TXN_1842675,4.0,1.0,4.0,2023-06-23,4.0,False,False,Other,4.0,5,4,0,True,False,True,0.03069182389937107
TXN_3495950,4.0,1.5,6.0,2023-02-19,6.0,False,False,Other,4.0,1,6,0,True,False,False,0.035974842767295595
TXN_7557340,5.0,1.5,7.5,2023-12-11,7.5,False,False,Tea,5.0,11,0,0,True,False,False,0.1079245283018868
TXN_1157817,1.0,4.0,4.0,2023-04-25,4.0,False,False,Cold Drink,1.0,3,1,1,False,True,False,0.09886792452830188
TXN_2020318,3.0,1.5,4.5,2023-10-12,4.5,False,False,Tea,3.0,9,3,0,False,True,False,0.1079245283018868
TXN_5307411,3.0,3.0,9.0,2023-10-21,9.0,False,False,Pastry,3.0,9,5,1,False,True,True,0.11119496855345912
TXN_2031459,3.0,3.0,9.0,2023-07-04,9.0,False,False,Pastry,3.0,6,1,1,False,False,True,0.11119496855345912
TXN_2256622,2.0,1.0,2.0,2023-10-04,2.0,False,False,Pastry,2.0,9,2,0,False,False,False,0.1169811320754717
TXN_4912930,3.0,4.0,12.0,2023-02-26,12.0,False,False,Cold Drink,3.0,1,6,1,True,False,False,0.09886792452830188
TXN_3723007,3.0,1.5,4.5,2023-05-18,4.5,False,False,Tea,3.0,4,3,0,False,True,False,0.1079245283018868
TXN_5446858,1.0,1.0,1.0,2023-11-07,1.0,False,False,Other,1.0,10,1,0,False,False,False,0.035974842767295595
TXN_5754317,2.0,2.0,4.0,2023-01-10,4.0,False,False,Coffee,2.0,0,1,1,True,False,True,0.10767295597484276
TXN_7559388,4.0,5.0,20.0,2023-02-26,20.0,False,False,Salad,4.0,1,6,2,False,True,True,0.1210062893081761
TXN_8540499,3.0,1.0,3.0,2023-01-22,3.0,False,False,Pastry,3.0,0,6,0,False,False,False,0.1169811320754717
TXN_6795640,4.0,1.0,4.0,2023-01-28,4.0,False,False,Pastry,4.0,0,5,0,False,True,True,0.1169811320754717
TXN_6702428,5.0,2.0,10.0,2023-08-11,10.0,False,False,Coffee,5.0,7,4,1,False,False,True,0.10767295597484276
TXN_1259671,3.0,4.0,12.0,2023-10-08,12.0,False,False,Pastry,3.0,9,6,1,False,True,False,0.1159748427672956
